UserName,Score,Komentar,Sentimen
Arya Guna,5,Mantap gw Dapet ETH Berkat aplikasi ini,Positive
Aspani,1,KOK NFT SAYA HILANG ATAU BERKURANG.. TIDAK ADA PENJELASAN DARI PIHAK OPENSEA,Negative
Taufik Hidayat,1,Tidak bisa listing.....error Jadi tidak bisa jual nft.,Negative
Verentia,5,Moga dapat duid,Positive
Nimin Ardiansyah,1,Apk berat lemot tolong di perbaiki admin ™,Negative
edi zatmiko,1,Tolong dong banyak bugs nih. Sign up aja berulang pas masuk mau post gambar hasur bolak balik terus susah minimal -kali,Negative
Sando Teddy,1,ada app nya tapi pas mo beli dan jual malah harus tetap buka browser.. sangat amat useless,Negative
teddy haryanto,5,vg,Positive
Stephen Geraldy,1,BUG NYA DIKURANGIN DONG & APLIKASINYA DIPERCEPAT,Negative
ELANG JAWA ,3,coba dulu,Neutral
Imam Faeruzzabadi,5,Ok,Positive
Alf Nst,5,Top,Positive
THEGAMERDEMONS_YT,1,Aplikasi apaaan ini dah? foto doank ,Negative
Agus Supri,1,Sangat buruk,Negative
Al Farezzz,5,Semoga bisa dapat penghasilan dari apk ini,Positive
Ekcha Ikmas,5,Good,Positive
Das Zal,5,Good‘Œ,Positive
Trisula Jago Purwokerto,1,Ga bisa di open... Tulisan nya eror mulu... Udah instal ulang berulang kali.... Kenapa ya??,Negative
INVESTOR XQUAD,5,Amazing pool âš¡,Positive
Jimmy Ichiba,4,semoga bisa jual berbagai gambar,Positive
muhammadharis muchsin,5,top,Positive
Zhao Entertainment Zone,1,Fix sistemnya pak banyak bugs disini. Mau rilis gambar saja butuh delay tidak muncul-muncul padahal itemnya  tetapi item yang masih muncul hanya ..,Negative
Fikri Alfikri,5,Bagus,Positive
alfans Hafid,5,Good,Positive
Jamzuri ,5,Bagus,Positive
Novi Handayani,4,Ok ok ok,Positive
Mas Ajit,5,Bagus,Positive
Mis war,5,Mantap,Positive
Ru eN,5,Nice broooo,Positive
NUZUL QODIR,5,Ko eror ya,Positive
boringman,2,Mau tanya kalau mau menjual NFT apa harus bayar terlebih dahulu di opensea ini? Harus punya saldo minimal .ETH apakah ada yang mau menjawab?,Negative
Aditya Rahman,2,Ko erorr setiap buka opensea,Negative
Boy gaming,5,Ya allah semoga bisa laku di bisnis ini dan bisa sukses buktikan ke ortu aamiinn..,Positive
Ferry Setty,3,Lagi mempelajari,Neutral
AMS STRIMER,1,Butut anjign,Negative
LIFE GOOD,5,nft nya keren keren aku bangga sip,Positive
Amelia Latipa,5,Satu kata:halo,Positive
PUJO TIARSO,5,Yang mau berbagi dan dapat kripto silakan di open sea,Positive
Arsa Chanel,2,Kalau bagus sya kasih bintang lagi,Negative
rAiHaN gEmILaNg S,4,Alhamdulillah terima kasih banyak kepada apk OpenSea dari aplikasi ini saya dapat cuan sekitar Jt dan saya bisa membanggakan Ortu saya Salut. Uraaaa :)‡·‡º.,Positive
Nurkholis Murianto,5,Mantap,Positive
"Ali Abdul Ali,5,Pahami dahulu apa itu NFT ikut trend boleh tapi jangan ""bodoh"",Positive"
Ardian Rifqi,5,Bang kalau mau jualan jangan jualan data pribadi mau di pake pinjol kah bang?,Positive
prawira Fano,5,your best to make it difficult for someone it's not easy to login to the wallet so as not to play the opensea market easily the rate system is from love each to unique then what about those who don't have more love and how can other users see a lower rat because the system is random,Positive
Andy Rakhmad Wardana,5,‘‘‘‘‘,Positive
Varent Aw,1,Ampas,Negative
KANG AFIF TEMON PENGEMBARA,5,Top,Positive
Xq -,1,App rasis,Negative
The Black pearl,5,nice app,Positive
Noah Antolin,5,Semoga bermanfaat,Positive
Mufty Fairuz,5,Good,Positive
Hasim Bond,5,Sangat memuas kan,Positive
Gloo Wall,5,Di sini ga bisa untuk jual ya? Cuma bisa untuk liat sama untuk profil aja?? Maaf sebelumnya. Dan terima kasih,Positive
Novian Handriono,5,All The Best,Positive
Hafizh H Asyhari,5,Mantap coeg,Positive
Eko Sutiawan,5,Mantap,Positive
Bang Kiw,4,Bagus,Positive
Susanto Agung Nugroho,5,Test...And TOP,Positive
Kang Ee,5,Karena Gozali jadi ikutan download aplikasinya,Positive
Raden Nursidik,5,Bagus apk nya aku mendapatka  triliun,Positive
mas wir,1,opensia selama ini sangat susah untuk masuk bikin saya sebel maka saya kasih bintang satu sebelum ada perubahan,Negative
Melki Hunter GamingMLBB,5,good,Positive
Freddy Ismawan,5,nice,Positive
Arkana Sulthan Arrafi,1,Gk bisa kyk ghozali males dan lagi gabut bngt jual poto jir,Negative
Vi Gleen,5,Thanks for my god,Positive
poer Karokaro,5,Mantap,Positive
